series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
05990022,2023,MUJER,20-24,659586.0,86,13.038481714287448,10.42910238303572,16.10241884787536
05990022,2023,MUJER,25-29,766871.0,53,6.911201492819522,5.176964174203675,9.040021715412925
05990022,2023,MUJER,30-34,842620.0,34,4.035033585720728,2.794378057080566,5.638554994564938
05990022,2023,MUJER,35-39,747993.0,26,3.475968357992655,2.2706179356753795,5.093099010702639
05990022,2023,MUJER,40-44,695661.0,11,1.5812299381451598,0.7893442879846418,2.829257140087191
05990022,2023,MUJER,45-49,666775.0,6,0.8998537737617637,0.33023047557134727,1.9586028304178598
05990022,2023,MUJER,5-9,610108.0,717,117.52017675559081,109.07442705300586,126.4462849811337
05990022,2023,MUJER,50-54,623409.0,7,1.1228583482112064,0.4514472924708924,2.3135173476325135
05990022,2023,MUJER,55-59,614189.0,2,0.3256326635612165,0.03943562625575596,1.1762971443194132
05990022,2023,MUJER,60-64,554778.0,8,1.4420182487409379,0.6225611283699969,2.841350814234399
05990022,2023,MUJER,65-69,477077.0,1,0.2096097694921365,0.005306859895633173,1.1678708868670882
05990022,2023,MUJER,70-74,372694.0,1,0.26831663509474263,0.006793189046319467,1.4949646066045865
05990022,2023,MUJER,75-79,267102.0,1,0.37438881026723875,0.009478704009812685,2.0859609403669377
05990022,2023,MUJER,80+,389542.0,1,0.25671172813201143,0.006499378240161491,1.4303062034232248
05990022,2024,HOMBRE,0-4,603305.0,942,156.13992922319557,146.3268879527097,166.43797979347593
05990022,2024,HOMBRE,10-14,657714.0,2153,327.3459284734702,313.6633328938426,341.4717807175662
05990022,2024,HOMBRE,15-19,635804.0,1116,175.52579096702758,165.37746424459075,186.1339314972285
05990022,2024,HOMBRE,20-24,661712.0,266,40.198757163237175,35.51263798739188,45.33127054511428
05990022,2024,HOMBRE,25-29,767831.0,106,13.805121179009443,11.302502082727255,16.69689639099584
05990022,2024,HOMBRE,30-34,861519.0,62,7.19659113728194,5.517585159024071,9.225705048379229
05990022,2024,HOMBRE,35-39,790820.0,29,3.6670797400166917,2.4559008544988665,5.266538205734124
05990022,2024,HOMBRE,40-44,715861.0,23,3.212914238937447,2.0367120204962523,4.820948884606513
05990022,2024,HOMBRE,45-49,667483.0,11,1.6479820459846917,0.8226666997117289,2.948695099845532
05990022,2024,HOMBRE,5-9,622349.0,3431,551.2983872393143,533.0041006993386,570.0604170951227
05990022,2024,HOMBRE,50-54,612505.0,9,1.4693757601978759,0.6718921637175752,2.78933289547337
05990022,2024,HOMBRE,55-59,585699.0,8,1.3658893049160064,0.5896940538994435,2.691346445903666
05990022,2024,HOMBRE,60-64,521387.0,6,1.1507766783598363,0.4223147591886354,2.5047563561267707
05990022,2024,HOMBRE,65-69,430924.0,2,0.46411896297258914,0.056206959590082005,1.676557274072449
05990022,2024,HOMBRE,70-74,326872.0,0,0.0,0.0,1.12853944483282
05990022,2024,HOMBRE,75-79,213855.0,0,0.0,0.0,1.724944216461591
05990022,2024,HOMBRE,80+,234860.0,0,0.0,0.0,1.5706716572059676
05990022,2024,MUJER,0-4,580776.0,311,53.549044726366105,47.76236227705971,59.84356648570413
05990022,2024,MUJER,10-14,634559.0,1121,176.65812004872674,166.46679197725751,187.31015384817857
05990022,2024,MUJER,15-19,614278.0,682,111.02465007700097,102.84739518071096,119.67915187759382
05990022,2024,MUJER,20-24,641616.0,196,30.547866636742224,26.420721971556127,35.13690007372785
05990022,2024,MUJER,25-29,746460.0,91,12.190874259839777,9.815331497579384,14.967692162546912
05990022,2024,MUJER,30-34,838059.0,73,8.710603907362131,6.827722979229284,10.952276651522332
05990022,2024,MUJER,35-39,770683.0,46,5.968731631552791,4.369861721222847,7.96145155797987
05990022,2024,MUJER,40-44,705304.0,35,4.962399192404977,3.4564928601737352,6.9014960030119035
05990022,2024,MUJER,45-49,669888.0,22,3.2841310786280693,2.058147462296624,4.972213920405387
05990022,2024,MUJER,5-9,599322.0,1079,180.03677488895786,169.45334253123616,191.10809337485182
05990022,2024,MUJER,50-54,628569.0,4,0.6363660950508218,0.1733883429864223,1.6293499481208418
05990022,2024,MUJER,55-59,616599.0,6,0.9730797487508088,0.3571031178271211,2.117984950108366
05990022,2024,MUJER,60-64,567088.0,8,1.410715797195497,0.6090469515751527,2.779672505888559
05990022,2024,MUJER,65-69,488891.0,4,0.8181782851392233,0.22292604560655133,2.094861364885771
05990022,2024,MUJER,70-74,392267.0,0,0.0,0.0,0.9404001494170897
