definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
autismo_F840,records,2020,MUJER,35-39,709886.0,5.0,0.7043384430739583,0.22869677527355387,1.6436909700040105
autismo_F840,records,2020,MUJER,40-44,671719.0,2.0,0.29774355050251666,0.03605812527916658,1.0755520787299393
autismo_F840,records,2020,MUJER,45-49,640360.0,0.0,0.0,0.0,0.5760633790545842
autismo_F840,records,2020,MUJER,5-9,629523.0,78.0,12.390333633560648,9.794044571051467,15.463697124786512
autismo_F840,records,2020,MUJER,50-54,623388.0,0.0,0.0,0.0,0.5917469463823389
autismo_F840,records,2020,MUJER,55-59,590614.0,0.0,0.0,0.0,0.6245838151675943
autismo_F840,records,2020,MUJER,60-64,518362.0,1.0,0.19291537574127735,0.004884194440234793,1.074855678259382
autismo_F840,records,2020,MUJER,65-69,435687.0,0.0,0.0,0.0,0.8466810931044386
autismo_F840,records,2020,MUJER,70-74,319314.0,1.0,0.31317136110536964,0.007928812386644455,1.7448791443340719
autismo_F840,records,2020,MUJER,75-79,237389.0,0.0,0.0,0.0,1.5539386635917989
autismo_F840,records,2020,MUJER,80+,350315.0,0.0,0.0,0.0,1.053017842260233
autismo_F840,records,2021,HOMBRE,0-4,600632.0,306.0,50.94633652552645,45.397412553003676,56.98638536812216
autismo_F840,records,2021,HOMBRE,10-14,655232.0,348.0,53.110959171713226,47.67677949691391,58.99481510161943
autismo_F840,records,2021,HOMBRE,15-19,631851.0,141.0,22.315387646771153,18.78415117999669,26.317585671819394
autismo_F840,records,2021,HOMBRE,20-24,719079.0,49.0,6.814272145341471,5.041236046224286,9.008829154087143
autismo_F840,records,2021,HOMBRE,25-29,827115.0,43.0,5.198793396323365,3.76239255870915,7.002740587510035
autismo_F840,records,2021,HOMBRE,30-34,842111.0,19.0,2.2562346294015874,1.358400634164229,3.5233898585323775
autismo_F840,records,2021,HOMBRE,35-39,738934.0,15.0,2.0299512541038847,1.1361483072619902,3.348095888331819
autismo_F840,records,2021,HOMBRE,40-44,683807.0,2.0,0.292480188123257,0.03542070767686861,1.0565390040938394
autismo_F840,records,2021,HOMBRE,45-49,644339.0,4.0,0.6207912294615102,0.1691447163102536,1.5894721063607347
autismo_F840,records,2021,HOMBRE,5-9,651336.0,483.0,74.15527469693062,67.6885959227371,81.0731184187156
autismo_F840,records,2021,HOMBRE,50-54,602079.0,5.0,0.8304558039725684,0.26964673906886316,1.938006819590564
autismo_F840,records,2021,HOMBRE,55-59,566471.0,0.0,0.0,0.0,0.6512035839635101
autismo_F840,records,2021,HOMBRE,60-64,483184.0,1.0,0.20696049538064173,0.0052397860823805995,1.153110076272993
autismo_F840,records,2021,HOMBRE,65-69,393552.0,3.0,0.7622880839126723,0.1572021290440911,2.227729263157683
autismo_F840,records,2021,HOMBRE,70-74,278885.0,2.0,0.7171414740843,0.08684915952595693,2.590561581915112
autismo_F840,records,2021,HOMBRE,75-79,184713.0,0.0,0.0,0.0,1.9970870778526337
autismo_F840,records,2021,HOMBRE,80+,205192.0,1.0,0.4873484346368279,0.012338594089579455,2.7153316849287
autismo_F840,records,2021,MUJER,0-4,578263.0,88.0,15.21798904650652,12.205272215427378,18.748988132122285
autismo_F840,records,2021,MUJER,10-14,632388.0,152.0,24.035876708602945,20.36670122044925,28.17514537793091
autismo_F840,records,2021,MUJER,15-19,610954.0,51.0,8.347600637691217,6.215336971079781,10.975553212943002
autismo_F840,records,2021,MUJER,20-24,697050.0,6.0,0.8607703894986013,0.3158875623686752,1.8735347568350456
autismo_F840,records,2021,MUJER,25-29,802756.0,10.0,1.2457085341000254,0.5973656623098965,2.2909023466679512
autismo_F840,records,2021,MUJER,30-34,817367.0,4.0,0.4893762532619986,0.13333855827630978,1.2529975733548937
autismo_F840,records,2021,MUJER,35-39,722171.0,3.0,0.4154140778292122,0.08566836980377242,1.214016219114631
autismo_F840,records,2021,MUJER,40-44,678365.0,1.0,0.1474132657197821,0.0037321807558305447,0.8213341476843437
autismo_F840,records,2021,MUJER,45-49,651942.0,1.0,0.15338787806277246,0.003883444843910942,0.8546225570585877
autismo_F840,records,2021,MUJER,5-9,627814.0,107.0,17.04326440633691,13.967366480683099,20.595040454801
autismo_F840,records,2021,MUJER,50-54,622931.0,2.0,0.32106284644687777,0.03888220020258503,1.1597893936445547
autismo_F840,records,2021,MUJER,55-59,601133.0,0.0,0.0,0.0,0.6136544581837855
autismo_F840,records,2021,MUJER,60-64,530360.0,0.0,0.0,0.0,0.6955425473478271
autismo_F840,records,2021,MUJER,65-69,450783.0,0.0,0.0,0.0,0.8183271006479693
autismo_F840,records,2021,MUJER,70-74,336455.0,0.0,0.0,0.0,1.0963960868805442
autismo_F840,records,2021,MUJER,75-79,246241.0,0.0,0.0,0.0,1.4980768653936327
autismo_F840,records,2021,MUJER,80+,362878.0,0.0,0.0,0.0,1.0165618897023063
autismo_F840,records,2022,HOMBRE,0-4,599782.0,588.0,98.03561960845774,90.27071926018641,106.28977720846407
autismo_F840,records,2022,HOMBRE,10-14,660773.0,515.0,77.93901990547434,71.3521790566826,84.97037211446765
autismo_F840,records,2022,HOMBRE,15-19,626479.0,229.0,36.55349979807783,31.97211265640834,41.607117396830496
autismo_F840,records,2022,HOMBRE,20-24,700037.0,62.0,8.856674718622015,6.790361721762219,11.353857278364751
