year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2021,F84_historico,records,principal,TOTAL,186.0,19678363.0,0.9452005738485463,0.8142396621785604,1.0912306621334045,1.1999858248262467,1.0323509819848256,1.3881884353570912,0.007875192704177596,0
2022,F84_historico,records,principal,HOMBRE,220.0,9782978.0,2.248803994039443,1.9614422327149763,2.566419414738869,2.8131289350052233,2.4512032474871788,3.2155055711747567,0.03648153323484484,0
2022,F84_historico,records,principal,MUJER,76.0,10045585.0,0.7565512610763833,0.5960763447470067,0.9469367186015706,1.021669308866136,0.8040196038269491,1.282307533990184,0.013861487639716336,0
2022,F84_historico,records,principal,TOTAL,296.0,19828563.0,1.4927960235948514,1.3275617375260813,1.6729117463243353,1.932464208450959,1.7172035615367953,2.168268198879159,0.012782215684372843,0
2023,F84_historico,records,principal,HOMBRE,253.0,9848466.0,2.5689279934560365,2.262104071187419,2.9057600334966653,3.2801275432721484,2.8865538586407413,3.71423384509424,0.04293283754115559,0
2023,F84_historico,records,principal,MUJER,104.0,10112423.0,1.0284379915674018,0.840308364376475,1.2461247615433546,1.400741314967136,1.1431315699966458,1.7010916252886823,0.019080340508480273,0
2023,F84_historico,records,principal,TOTAL,357.0,19960889.0,1.788497496278848,1.6077622046293834,1.9839904828236927,2.356557087220594,2.117250059454021,2.616431145107872,0.01571268516477044,0
2024,F84_historico,records,principal,HOMBRE,253.0,9910500.0,2.5528479895060796,2.247944607593045,2.887571655723805,3.266327588407937,2.874459481805663,3.698582261085967,0.04256117964505683,0
2024,F84_historico,records,principal,MUJER,131.0,10175877.0,1.287358327935764,1.076357545011116,1.5276320935086636,1.7583227281186324,1.4688405615823625,2.090193145781624,0.023822543283679155,0
2024,F84_historico,records,principal,TOTAL,384.0,20086377.0,1.9117434667287188,1.72529099115774,2.1128523419714975,2.5254117493073402,2.2779907746008243,2.7933102493232607,0.016763661054237152,0
2019,F84_historico,records,principal_y_secundario,HOMBRE,6.0,9424139.0,0.06366629354681631,0.023364407650299415,0.13857471778078279,0.07671916756593798,0.027843438810054157,0.17084592766673626,0.0009984147246215236,0
2019,F84_historico,records,principal_y_secundario,MUJER,1.0,9683077.0,0.010327295755264572,0.0002614644909287603,0.057540009141091183,0.013533292102089804,0.00034263329083601603,0.07963387286999463,0.00018314999512048628,0
2019,F84_historico,records,principal_y_secundario,TOTAL,7.0,19107216.0,0.03663537377711122,0.014729320333845943,0.07548287182027134,0.045689021217144285,0.01821137497146172,0.09600728181486559,0.00030282725346111986,0
2020,F84_historico,records,principal_y_secundario,HOMBRE,5.0,9599101.0,0.05208821117727587,0.016912900386384315,0.12155650908686835,0.06801252374835559,0.0220620299273121,0.16074478545340656,0.0009263909744598122,0
2020,F84_historico,records,principal_y_secundario,MUJER,3.0,9859209.0,0.030428404550507045,0.006275068546529456,0.08892471059029505,0.04267315779904935,0.008778851581897099,0.12687733063735715,0.0006083536313402355,0
2020,F84_historico,records,principal_y_secundario,TOTAL,8.0,19458310.0,0.04111353966505827,0.017749908274400508,0.08101006315652959,0.055573286630643495,0.02397192970789452,0.11041863896764441,0.00038670350335993583,0
2021,F84_historico,records,principal_y_secundario,HOMBRE,2.0,9708512.0,0.02060047924954926,0.0024948136083466237,0.07441601419171096,0.02652089888367396,0.003211241914237357,0.09947011788048787,0.000351718193750541,0
2021,F84_historico,records,principal_y_secundario,MUJER,1.0,9969851.0,0.010030240171091824,0.0002539436946880136,0.05588492135879361,0.013594487961712438,0.00034418263585937595,0.08064827345124502,0.00018481010294114437,0
2021,F84_historico,records,principal_y_secundario,TOTAL,3.0,19678363.0,0.015245170545944294,0.0031439206751882835,0.044552857723695424,0.020166148588499952,0.004158330998593751,0.06071524492649996,0.00013557021507395892,0
2022,F84_historico,records,principal_y_secundario,HOMBRE,5.0,9782978.0,0.05110918168271461,0.01659501217439537,0.1192717808352699,0.0643096415418212,0.020599398765813196,0.15454081954295174,0.0008428038238427182,0
2022,F84_historico,records,principal_y_secundario,MUJER,3.0,10045585.0,0.029863865568804604,0.0061586470364404,0.08727488811992853,0.03755113451887047,0.007584681782975909,0.1166937866586958,0.0004789981441033879,0
