series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2022.0,10,HOMBRE,186.0,448889.0,41.43563330801156,35.694578484540905,47.837289588721234,55.648542485536304,47.909216241258974,64.32519726112939,16.779770315589296,0.0,2022,Los Lagos
05990022,2022.0,10,MUJER,56.0,453621.0,12.345107479591995,9.325361520438916,16.031148912326575,16.697050096282613,12.584414980853325,21.789460069242043,5.0532533645981275,0.0,2022,Los Lagos
05990022,2022.0,10,TOTAL,242.0,902510.0,26.814107322910548,23.5419033524824,30.413919496968813,36.52462117171183,32.04636898768775,41.47667309733072,5.5665583186614995,0.0,2022,Los Lagos
05990022,2022.0,11,HOMBRE,63.0,54524.0,115.54544787616463,88.78829468763709,147.83282093553387,141.32760583076157,108.34255858227391,182.0156247250468,322.4154456732429,0.0,2022,Aysén
05990022,2022.0,11,MUJER,17.0,53523.0,31.762046223119032,18.502562393003558,50.854112841033974,41.000028411441335,23.773824881946698,66.9868053166539,100.3760985673126,0.0,2022,Aysén
05990022,2022.0,11,TOTAL,80.0,108047.0,74.04185215693171,58.710583904217934,92.15149422699238,92.12517101928114,72.90536911553994,115.29314067722775,107.80046062397886,0.0,2022,Aysén
05990022,2022.0,12,HOMBRE,9.0,92124.0,9.769441187964048,4.467210604596342,18.545442502951637,13.25987823149738,6.027279704327919,25.794549813903537,19.784943498708458,0.0,2022,Magallanes
05990022,2022.0,12,MUJER,2.0,89019.0,2.2467113762230535,0.27208717076575223,8.115893986366912,3.194779755017608,0.3860763502337199,12.175599009518182,5.110251072740323,0.0,2022,Magallanes
05990022,2022.0,12,TOTAL,11.0,181143.0,6.072550415969704,3.0313952883836746,10.865470105553046,8.3229114607762,4.13947037035894,15.178021615567786,6.354356602801575,0.0,2022,Magallanes
05990022,2022.0,13,HOMBRE,648.0,4107724.0,15.775159187910386,14.583775913964233,17.037934391589186,21.31533623395665,19.70046304815835,23.028331613805356,0.7056692947680175,0.0,2022,Metropolitana
05990022,2022.0,13,MUJER,217.0,4203260.0,5.16265945956234,4.498566087863548,5.8971780350151,7.175152521046603,6.245448776466899,8.206229143104437,0.2408497956111526,0.0,2022,Metropolitana
05990022,2022.0,13,TOTAL,865.0,8310984.0,10.407913190543983,9.725787578999102,11.125262821143938,14.352540239470597,13.407897579875339,15.346822734498922,0.24020441416860291,0.0,2022,Metropolitana
05990022,2022.0,14,HOMBRE,143.0,200335.0,71.38043776674071,60.16086810699813,84.0851256647799,102.20597707070115,86.06838074861018,120.56381886814125,73.74393153256653,0.0,2022,Los Ríos
05990022,2022.0,14,MUJER,30.0,209224.0,14.338699193209193,9.6742601333599,20.469384676140244,22.224147965321425,14.955703294183897,31.87759464767898,16.66160968644171,0.0,2022,Los Ríos
05990022,2022.0,14,TOTAL,173.0,409559.0,42.2405563056849,36.18050537782642,49.025278411007335,62.822807488692575,53.76593472603454,73.00513365922255,23.045704395878506,0.0,2022,Los Ríos
05990022,2022.0,15,HOMBRE,99.0,129821.0,76.25884872247171,61.97942925581793,92.84241205440988,95.29750825432646,77.38694452958416,116.260790741091,92.45330582841162,0.0,2022,Arica y Parinacota
05990022,2022.0,15,MUJER,30.0,127901.0,23.455641472701544,15.825422804685589,33.48438667000857,30.662581307273566,20.67250731238414,43.95617391864951,31.447810042910064,0.0,2022,Arica y Parinacota
05990022,2022.0,15,TOTAL,129.0,257722.0,50.05393408401301,41.78953629173548,59.474393573940375,63.82644337232137,53.25863621904843,75.94839418203415,31.76512395156088,0.0,2022,Arica y Parinacota
05990022,2022.0,16,HOMBRE,323.0,249724.0,129.34279444506734,115.62029998743685,144.2459462136733,171.3163153235998,153.02942164396418,191.2991700655519,92.01315638932563,0.0,2022,Ñuble
05990022,2022.0,16,MUJER,128.0,267336.0,47.879821647664365,39.94498825186433,56.929264452551855,72.42757845723408,60.370388778885676,86.29854413469258,41.37146178282616,0.0,2022,Ñuble
05990022,2022.0,16,TOTAL,451.0,517060.0,87.22391985456234,79.35864497418491,95.65781983267986,123.24165238622705,112.06466766707794,135.2853893375397,34.075108873321184,0.0,2022,Ñuble
05990022,2023.0,1,HOMBRE,86.0,202347.0,42.50124785640509,33.99551228541564,52.488695351029264,48.97474999395367,39.15700108761781,60.552063287422634,27.989383958651487,0.0,2023,Tarapacá
05990022,2023.0,1,MUJER,26.0,199241.0,13.049522939555613,8.524381636107197,19.12057462225395,15.540033146592254,10.138652429168877,22.848452040767267,9.337197543095396,0.0,2023,Tarapacá
05990022,2023.0,1,TOTAL,112.0,401588.0,27.88927956014622,22.96394651547317,33.55805036309237,32.58103028113415,26.815989522924227,39.242155327808604,9.516505711311975,0.0,2023,Tarapacá
05990022,2023.0,2,HOMBRE,162.0,359072.0,45.11629979502718,38.43629039723877,52.623548139754,55.91624972316083,47.615230203590606,65.33238262694525,19.40698262017684,0.0,2023,Antofagasta
