Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Region,GRD F84 principal,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.5399,−0.0667,2.54,0.011,0.008
Region,REM A05 entries,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.1175,−0.0667,0.77,0.440,0.208
Region,REM A05 entries,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.1761,−0.0667,1.02,0.309,0.140
Region,REM A05 entries,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.1771,−0.0667,1.02,0.307,0.138
Region,REM P2 December,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.0436,−0.0667,0.46,0.644,0.341
Region,REM P2 December,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.0408,−0.0667,0.45,0.652,0.348
Region,REM P2 December,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.0435,−0.0667,0.46,0.644,0.343
Region,REM P6 primary,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.1523,−0.0667,0.92,0.359,0.127
Region,REM P6 primary,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.1535,−0.0667,0.92,0.356,0.126
Region,REM P6 primary,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.1543,−0.0667,0.93,0.354,0.124
Region,REM P6 specialty,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.3879,−0.0667,1.91,0.057,0.033
Region,REM P6 specialty,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.3877,−0.0667,1.91,0.057,0.033
Region,REM P6 specialty,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.3893,−0.0667,1.91,0.056,0.032
Region,APS enrolment,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.1938,−0.0667,1.09,0.275,0.159
Region,APS enrolment,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.1945,−0.0667,1.10,0.273,0.158
Region,APS enrolment,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.1945,−0.0667,1.10,0.273,0.158
Region,FONASA beneficiaries,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.2530,−0.0667,1.34,0.180,0.123
Region,FONASA beneficiaries,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.2540,−0.0667,1.34,0.179,0.121
Region,FONASA beneficiaries,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.2540,−0.0667,1.34,0.179,0.121
Region,REM-20 discharges,"Rate per 100,000 population",queen (16 regions),full period,all comunas,16,0.6228,−0.0667,2.89,0.004,0.001
Region,REM-20 discharges,Crude standardised ratio,queen (16 regions),full period,all comunas,16,0.6228,−0.0667,2.89,0.004,0.001
Region,REM-20 discharges,Empirical-Bayes smoothed standardised ratio,queen (16 regions),full period,all comunas,16,0.6229,−0.0667,2.89,0.004,0.001
