Comuna,CUT,Region,A05 entries,A05 smoothed ratio,A05 establishments,P2 December,P2 smoothed ratio,P6 primary,P6 smoothed ratio,A05 data state
Mostazal,6110,O'Higgins,31,0.39,1,186,1.62,47,0.42,reported
Pica,1405,Tarapacá,6,0.38,1,21,0.85,28,1.12,reported
Calera,5502,Valparaíso,57,0.38,0,349,1.61,229,1.07,reported
Puyehue,10304,Los Lagos,10,0.38,1,115,2.36,51,1.08,reported
Iquique,1101,Tarapacá,246,0.38,6,"1,257",1.35,298,0.33,reported
Maipú,13119,Metropolitana,599,0.37,16,640,0.27,981,0.42,reported
Lumaco,9207,La Araucanía,9,0.37,0,53,1.31,46,1.16,reported
La Unión,14201,Los Ríos,38,0.36,0,129,0.81,100,0.64,reported
Placilla,6308,O'Higgins,7,0.35,2,41,1.10,24,0.66,reported
Villa Alegre,7407,Maule,15,0.34,1,54,0.75,25,0.36,reported
Los Muermos,10106,Los Lagos,14,0.34,1,57,0.80,52,0.74,reported
Pencahue,7107,Maule,6,0.34,1,53,1.50,32,0.94,reported
Viña del Mar,5109,Valparaíso,308,0.34,0,"1,405",0.94,700,0.48,reported
Romeral,7306,Maule,14,0.34,1,77,1.13,45,0.68,reported
Diego de Almagro,3202,Atacama,14,0.33,1,60,1.07,31,0.57,reported
Coinco,6103,O'Higgins,5,0.32,1,14,0.47,18,0.58,reported
Fresia,10104,Los Lagos,8,0.31,1,30,0.61,23,0.48,reported
Queilén,10207,Los Lagos,<5,0.31,0,9,0.45,44,1.93,reported
Villa Alemana,5804,Valparaíso,123,0.30,0,890,1.51,358,0.61,reported
Isla de Maipo,13603,Metropolitana,36,0.30,3,223,1.31,64,0.39,reported
Combarbalá,4302,Coquimbo,8,0.29,1,134,2.36,40,0.73,reported
Ercilla,9204,La Araucanía,6,0.29,0,32,0.95,48,1.42,reported
Pichilemu,6201,O'Higgins,12,0.29,1,7,0.12,30,0.41,reported
Galvarino,9106,La Araucanía,9,0.28,0,141,2.72,83,1.64,reported
Huasco,3304,Atacama,8,0.28,0,12,0.29,6,0.16,reported
Vilcún,9119,La Araucanía,26,0.28,0,121,0.93,93,0.72,reported
Lanco,14103,Los Ríos,13,0.27,0,165,2.24,39,0.55,reported
Vitacura,13132,Metropolitana,65,0.27,2,47,0.13,30,0.08,reported
Olmué,5803,Valparaíso,12,0.26,0,133,1.63,91,1.13,reported
Quilaco,8308,Biobío,<5,0.26,0,<5,0.16,0,0.08,reported
