year,age_group,sex,icd_code,hospitalizations
2021,65-69,Male,F84.4,1
2021,65-69,Male,F84.5,1
2021,70-74,Female,F80,4
2021,70-74,Male,F80,8
2021,70-74,Male,F84.0,4
2021,75-79,Female,F80,3
2021,75-79,Female,F83,1
2021,75-79,Female,F84.9,1
2021,75-79,Female,F88,1
2021,75-79,Male,F80,5
2021,75-79,Male,F84.5,1
2021,80+,Female,F80,6
2021,80+,Female,F83,1
2021,80+,Female,F84.1,1
2021,80+,Male,F80,4
2021,80+,Male,F83,1
2021,80+,Male,F84.0,1
2021,80+,Male,F84.1,1
2021,80+,Male,F84.8,1
2022,0-4,Female,F80,115
2022,0-4,Female,F81,7
2022,0-4,Female,F82,103
2022,0-4,Female,F83,156
2022,0-4,Female,F84.0,167
2022,0-4,Female,F84.1,2
2022,0-4,Female,F84.2,10
2022,0-4,Female,F84.8,11
2022,0-4,Female,F84.9,29
2022,0-4,Female,F88,2
2022,0-4,Female,F89,13
2022,0-4,Female,F90.0,4
2022,0-4,Female,F90.9,3
2022,0-4,Male,F80,295
2022,0-4,Male,F81,9
2022,0-4,Male,F82,148
2022,0-4,Male,F83,238
2022,0-4,Male,F84.0,480
2022,0-4,Male,F84.1,11
2022,0-4,Male,F84.3,1
2022,0-4,Male,F84.5,2
2022,0-4,Male,F84.8,22
2022,0-4,Male,F84.9,77
2022,0-4,Male,F89,12
2022,0-4,Male,F90.0,18
2022,0-4,Male,F90.1,2
2022,0-4,Male,F90.8,1
2022,0-4,Male,F90.9,2
2022,10-14,Female,F80,31
2022,10-14,Female,F81,13
2022,10-14,Female,F82,12
2022,10-14,Female,F83,21
2022,10-14,Female,F84.0,217
2022,10-14,Female,F84.1,8
2022,10-14,Female,F84.2,20
2022,10-14,Female,F84.5,9
2022,10-14,Female,F84.8,12
2022,10-14,Female,F84.9,26
2022,10-14,Female,F88,9
2022,10-14,Female,F89,21
2022,10-14,Female,F90.0,145
2022,10-14,Female,F90.1,9
2022,10-14,Female,F90.9,10
2022,10-14,Male,F80,59
2022,10-14,Male,F81,20
2022,10-14,Male,F82,14
2022,10-14,Male,F83,49
2022,10-14,Male,F84.0,517
2022,10-14,Male,F84.1,10
2022,10-14,Male,F84.3,1
2022,10-14,Male,F84.4,3
2022,10-14,Male,F84.5,50
2022,10-14,Male,F84.8,14
2022,10-14,Male,F84.9,55
2022,10-14,Male,F88,5
2022,10-14,Male,F89,7
2022,10-14,Male,F90.0,262
2022,10-14,Male,F90.1,9
2022,10-14,Male,F90.8,2
2022,10-14,Male,F90.9,18
2022,15-19,Female,F80,10
2022,15-19,Female,F81,14
2022,15-19,Female,F82,6
2022,15-19,Female,F83,6
2022,15-19,Female,F84.0,147
2022,15-19,Female,F84.1,8
2022,15-19,Female,F84.2,12
2022,15-19,Female,F84.3,1
2022,15-19,Female,F84.5,16
2022,15-19,Female,F84.8,6
2022,15-19,Female,F84.9,6
2022,15-19,Female,F88,7
2022,15-19,Female,F89,31
2022,15-19,Female,F90.0,97
2022,15-19,Female,F90.1,1
2022,15-19,Female,F90.9,3
2022,15-19,Male,F80,22
2022,15-19,Male,F81,8
2022,15-19,Male,F82,5
2022,15-19,Male,F83,18
2022,15-19,Male,F84.0,273
2022,15-19,Male,F84.1,12
2022,15-19,Male,F84.4,1
2022,15-19,Male,F84.5,48
2022,15-19,Male,F84.8,7
2022,15-19,Male,F84.9,34
2022,15-19,Male,F88,3
2022,15-19,Male,F89,7
2022,15-19,Male,F90.0,123
2022,15-19,Male,F90.1,11
2022,15-19,Male,F90.8,2
2022,15-19,Male,F90.9,6
2022,20-24,Female,F80,4
2022,20-24,Female,F82,3
2022,20-24,Female,F83,2
2022,20-24,Female,F84.0,23
2022,20-24,Female,F84.1,2
2022,20-24,Female,F84.2,1
2022,20-24,Female,F84.5,1
2022,20-24,Female,F84.8,8
2022,20-24,Female,F84.9,4
2022,20-24,Female,F88,2
2022,20-24,Female,F89,2
2022,20-24,Female,F90.0,11
2022,20-24,Female,F90.1,1
2022,20-24,Male,F80,1
2022,20-24,Male,F81,5
2022,20-24,Male,F82,5
2022,20-24,Male,F83,4
2022,20-24,Male,F84.0,70
2022,20-24,Male,F84.1,7
2022,20-24,Male,F84.5,22
2022,20-24,Male,F84.8,10
2022,20-24,Male,F84.9,5
2022,20-24,Male,F89,3
2022,20-24,Male,F90.0,21
2022,20-24,Male,F90.9,1
2022,25-29,Female,F80,2
2022,25-29,Female,F81,2
2022,25-29,Female,F82,1
2022,25-29,Female,F84.0,14
2022,25-29,Female,F84.1,1
2022,25-29,Female,F84.4,1
2022,25-29,Female,F84.5,3
2022,25-29,Female,F84.8,4
2022,25-29,Female,F84.9,7
2022,25-29,Female,F90.0,2
2022,25-29,Male,F80,4
2022,25-29,Male,F82,1
2022,25-29,Male,F83,3
2022,25-29,Male,F84.0,39
2022,25-29,Male,F84.1,10
2022,25-29,Male,F84.5,10
2022,25-29,Male,F84.8,3
2022,25-29,Male,F84.9,9
2022,25-29,Male,F89,1
2022,25-29,Male,F90.0,4
2022,30-34,Female,F81,1
2022,30-34,Female,F82,3
2022,30-34,Female,F83,1
2022,30-34,Female,F84.0,8
2022,30-34,Female,F84.1,3
2022,30-34,Female,F84.2,2
2022,30-34,Female,F84.8,1
2022,30-34,Female,F89,2
2022,30-34,Female,F90.0,2
2022,30-34,Male,F80,2
2022,30-34,Male,F83,1
2022,30-34,Male,F84.0,29
2022,30-34,Male,F84.1,9
2022,30-34,Male,F84.5,7
2022,30-34,Male,F84.8,6
2022,30-34,Male,F84.9,2
2022,30-34,Male,F90.0,2
2022,35-39,Female,F80,3
2022,35-39,Female,F81,1
2022,35-39,Female,F84.0,6
2022,35-39,Female,F84.1,2
2022,35-39,Female,F84.5,1
2022,35-39,Female,F84.8,1
2022,35-39,Female,F84.9,5
2022,35-39,Female,F89,1
